iter	Passed	Remaining
0	214	10523
1	264	6356
2	316	4956
3	373	4290
4	434	3910
5	477	3502
6	521	3201
7	567	2981
8	612	2790
9	658	2633
10	707	2508
11	752	2381
12	798	2273
13	849	2183
14	903	2108
15	954	2028
16	1003	1948
17	1061	1887
18	1113	1817
19	1166	1750
20	1215	1679
21	1265	1610
22	1317	1546
23	1370	1484
24	1424	1424
25	1478	1364
26	1534	1306
27	1586	1246
28	1637	1185
29	1687	1125
30	1741	1067
31	1793	1008
32	1844	949
33	1892	890
34	1943	833
35	1992	774
36	2046	719
37	2099	663
38	2150	606
39	2200	550
40	2248	493
41	2303	438
42	2353	383
43	2403	327
44	2451	272
45	2498	217
46	2551	162
47	2596	108
48	2640	53
49	2688	0
