iter	Passed	Remaining
0	9	449
1	15	365
2	23	364
3	29	339
4	37	336
5	44	326
6	53	325
7	59	314
8	66	304
9	73	292
10	80	286
11	88	280
12	96	274
13	103	266
14	109	256
15	117	249
16	123	240
17	132	235
18	140	229
19	149	223
20	156	215
21	165	210
22	171	201
23	179	194
24	186	186
25	195	180
26	202	172
27	211	166
28	218	158
29	227	151
30	234	143
31	243	136
32	250	128
33	259	122
34	267	114
35	277	107
36	284	99
37	291	92
38	300	84
39	308	77
40	316	69
41	325	61
42	333	54
43	341	46
44	348	38
45	357	31
46	364	23
47	372	15
48	379	7
49	387	0
